score,rec,company,tier,title,location,posted_days_ago,url,resume
23,APPLY,Affirm,dream_tech,Business Systems Analyst II,Remote US,27,https://job-boards.greenhouse.io/affirm/jobs/7721455003,Ops-Automation
23,APPLY,Figma,dream_tech,Business Systems Analyst ,"San Francisco, CA • New York, NY • United States",38,https://boards.greenhouse.io/figma/jobs/5980306004?gh_jid=5980306004,Ops-Automation
22,APPLY,Paragon,high_odds,Operations Associate,Los Angeles HQ (Remote),5,https://jobs.ashbyhq.com/paragon/66373519-40a0-41d0-816c-7927a0d8d3c9,Ops-Automation
22,APPLY,Ramp,high_odds,Product Operations Specialist | Accounting,"New York, NY (HQ) (Remote)",10,https://jobs.ashbyhq.com/ramp/b830aa03-c897-4f7d-80c1-047b529576e1,Ops-Automation
22,APPLY,Vanta,high_odds,Revenue Operations Analyst,Remote U.S. (Remote),10,https://jobs.ashbyhq.com/vanta/cc1cbee0-06cf-4b63-b49c-945b1c12f657,Ops-Automation
22,APPLY,Ramp,high_odds,AML Operations Analyst,"New York, NY (HQ) (Remote)",18,https://jobs.ashbyhq.com/ramp/16fb536d-fe10-4ea7-8956-d6d0cbddd6f5,Ops-Automation
21,APPLY,Harvey,high_odds,Technical User Operations Specialist,Remote (Remote),5,https://jobs.ashbyhq.com/harvey/bb28fa88-ec30-4865-b24d-3e7f635feda4,Ops-Automation
21,MAYBE,Samsara,high_odds,Senior Sales Operations Analyst,Remote - US,4,https://www.samsara.com/company/careers/roles/7555223?gh_jid=7555223,Ops-Automation
20,MAYBE,Samsara,high_odds,"Sr. Analyst, Sales Operations",Remote - US,6,https://www.samsara.com/company/careers/roles/7592390?gh_jid=7592390,Ops-Automation
20,MAYBE,ZipRecruiter,dream_tech,Sr. Revenue Operations Business Analyst,"New York, NY/Remote",12,https://job-boards.greenhouse.io/ziprecruiter/jobs/7947899,Ops-Automation
19,APPLY,Stripe,dream_tech,"Strategic Business Performance, Central Strategy & Operations","San Francisco, Seattle, Chicago, US-remote, New York",12,https://stripe.com/jobs/search?gh_jid=5956528,Ops-Automation
